"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Valida se existe opção para criar campeonato.","2425","07 - Opção Create tournament está visível","","2026-05-15","passed","2026-05-15","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","testCreateTournamentOptionVisible"
"Valida se as regras apresentam conteúdo explicativo.","2452","09 - Regras apresentam conteúdo explicativo","","2026-05-15","passed","2026-05-15","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","testRulesContentVisible"
"Valida se a secção de regras está disponível.","2033","08 - Secção de regras está visível","","2026-05-15","passed","2026-05-15","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","testRulesSectionVisible"
"Valida se a página principal do Battleship abre corretamente.","5409","01 - Página principal abre com URL correto","","2026-05-15","passed","2026-05-15","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","testHomepageUrl"
"Valida se clicar em Play vs robot mantém contexto funcional de jogo.","2238","05 - Play vs robot inicia fluxo de jogo","","2026-05-15","passed","2026-05-15","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","testPlayVsRobotFlow"
"Valida se o título principal Battleship Online está visível.","3035","02 - Página apresenta título principal","","2026-05-15","passed","2026-05-15","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","testHomepageTitleVisible"
"Valida se existe conteúdo de estratégias/táticas.","2449","10 - Página apresenta estratégias ou táticas","","2026-05-15","passed","2026-05-15","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","testStrategiesContentVisible"
"Valida se existe a opção Play vs robot.","2061","04 - Opção Play vs robot está visível","","2026-05-15","passed","2026-05-15","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","testPlayVsRobotOptionVisible"
"Valida se existe a opção Play with a friend.","2411","06 - Opção Play with a friend está visível","","2026-05-15","passed","2026-05-15","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","testPlayWithFriendOptionVisible"
"Valida se o conteúdo principal da homepage está presente.","2552","03 - Página apresenta texto principal do jogo","","2026-05-15","passed","2026-05-15","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","testHomepageMainText"
