"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","0","2","40","0","0"
"","US1 – Homepage","TC1.5 – Digitar nickname","0","0","1","0","0"
"BlackBattleShip","Test Suite Selenide - Eduardo","US14 - Criar campeonato","0","0","1","0","0"
"BlackBattleShip","Test Suite Selenide - Eduardo","US3 - Jogar contra robot","0","0","2","0","0"
"","US1 – Homepage","TC1.1 – URL correcto","0","0","1","0","0"
"BlackBattleShip","Test Suite Selenide - Eduardo","US6 - Consultar instruções/regras","0","0","3","0","0"
"BlackBattleShip","Test Suite Selenide - Eduardo","US1 - Aceder à página principal","0","0","3","0","0"
"","US1 – Homepage","TC1.3 – Botões visíveis","0","0","1","0","0"
"","US1 – Homepage","TC1.2 – Título não vazio","0","0","1","0","0"
"BlackBattleShip","Test Suite Selenide - Eduardo","US4 - Criar jogo multiplayer","0","0","1","0","0"
"","US1 – Homepage","TC1.4 – Nickname input","0","0","1","0","0"
