"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 18 01:09:16 WEST 2026","Mon May 18 01:09:37 WEST 2026","21504","","US2 – Nickname e Jogo vs Robot","","tests.UserStoryTest2","testStartGameVsRobot","TC2.5 – Jogar vs Robot abre o tabuleiro de jogo",""
"passed","Mon May 18 01:06:54 WEST 2026","Mon May 18 01:07:16 WEST 2026","22254","","US4 – Lobby e Sala Multiplayer","","tests.UserStoryTest4","testLobbyInterfaceElements","TC4.7 – Interface do lobby tem elementos visíveis",""
"passed","Mon May 18 01:07:24 WEST 2026","Mon May 18 01:07:28 WEST 2026","3818","","US1 – Homepage e Verificação de Elementos","","tests.UserStoryTest1","testPageTitleContainsBattleOrShip","TC1.3 – Título da página contém 'Battle' ou 'Ship'",""
"passed","Mon May 18 01:17:59 WEST 2026","Mon May 18 01:18:01 WEST 2026","2401","","US1 – Homepage (Selenide + Allure)","","testsuite.UserStorySelenideTest1","testEnterNickname","TC1.5 – Digitar nickname no campo","O campo de nickname aceita texto, ou o site usa fluxo de convidado"
"passed","Mon May 18 01:04:38 WEST 2026","Mon May 18 01:04:45 WEST 2026","6241","","US3 – Navegação e Conteúdo das Instruções","","tests.UserStoryTest3","testNavigationCycleUrl","TC3.6 – URL correcto após ciclo homepage → instruções → homepage",""
"passed","Mon May 18 01:04:26 WEST 2026","Mon May 18 01:04:31 WEST 2026","5303","","US3 – Navegação e Conteúdo das Instruções","","tests.UserStoryTest3","testInstructionsPageTitle","TC3.4 – Título da aba mantém referência ao jogo nas instruções",""
"passed","Mon May 18 00:56:01 WEST 2026","Mon May 18 00:56:18 WEST 2026","17402","","iscteiul.ista.blackbattleship.fredson.tests.UserStoryTest3","","iscteiul.ista.blackbattleship.fredson.tests.UserStoryTest3","jogadorConsegueIniciarJogoContraRobot","UserStoryTest3 - Iniciar partida contra robot",""
"passed","Mon May 18 00:56:38 WEST 2026","Mon May 18 00:56:41 WEST 2026","2347","","iscteiul.ista.blackbattleship.usertests.UserStoryTest1","","iscteiul.ista.blackbattleship.usertests.UserStoryTest1","testHomepageMainOptionsVisible","US1 - A página apresenta opções principais de jogo",""
"passed","Mon May 18 01:04:48 WEST 2026","Mon May 18 01:05:10 WEST 2026","21193","","US4 – Lobby e Sala Multiplayer","","tests.UserStoryTest4","testClickMultiplayerNavigatesToLobby","TC4.2 – Clicar em Multiplayer navega para lobby",""
"passed","Mon May 18 01:17:38 WEST 2026","Mon May 18 01:17:41 WEST 2026","2611","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","testCreateTournamentOptionVisible","07 - Opção Create tournament está visível","Valida se existe opção para criar campeonato."
"passed","Mon May 18 00:56:36 WEST 2026","Mon May 18 00:56:38 WEST 2026","2669","","iscteiul.ista.blackbattleship.usertests.UserStoryTest1","","iscteiul.ista.blackbattleship.usertests.UserStoryTest1","testHomepageUrl","US1 - A página principal abre com o URL correto",""
"passed","Sun May 17 23:45:50 WEST 2026","Sun May 17 23:45:57 WEST 2026","6637","","Parte 1A – Demo: Testes JetBrains (projecto-piloto)","","iscteiul.ista.blackbattleship.MainPageTest","search","search – Pesquisar 'Selenium' e verificar campo de pesquisa",""
"passed","Mon May 18 00:57:01 WEST 2026","Mon May 18 00:57:03 WEST 2026","2138","","iscteiul.ista.blackbattleship.usertests.UserStoryTest3","","iscteiul.ista.blackbattleship.usertests.UserStoryTest3","testPlayVsRobotOptionVisible","US3 - Existe opção para jogar contra o robot",""
